patho_niv1;libelle_comorbidite;annee;ntop;ncomorb;proportion_comorb;niveau_prioritaire
Maladies neurologiques ou dégénératives;Maladies respiratoires chroniques (hors mucoviscidose);2015;258910;29380;0.113;3
Cancers;Maladies respiratoires chroniques (hors mucoviscidose);2020;234620;26620;0.113;3
Cancers;Diabète;2021;735790;83470;0.113;2
Maladies cardio-neurovasculaires;Autres affections de longue durée (dont 31 et 32);2016;828580;94000;0.113;2
Traitements psychotropes (hors pathologies);Diabète;2015;2936160;333090;0.113;3
Cancers;Traitements hypolipémiants (hors pathologies);2017;361010;40930;0.113;2
Maladies cardio-neurovasculaires;Autres affections de longue durée (dont 31 et 32);2015;808730;91680;0.113;2
Maladies du foie ou du pancréas (hors mucoviscidose);Traitements anxiolytiques (hors pathologies);2021;599160;67900;0.113;3
Maladies neurologiques ou dégénératives;Traitements anxiolytiques (hors pathologies);2018;96100;10890;0.113;3
Maladies cardio-neurovasculaires;Démences (dont maladie d'Alzheimer);2019;831130;94160;0.113;3
Cancers;Traitements hypnotiques (hors pathologies);2016;88240;9990;0.113;3
Insuffisance rénale chronique terminale;Autres affections de longue durée (dont 31 et 32);2016;89980;10180;0.113;1
Maladies psychiatriques;Diabète;2017;463610;52440;0.113;3
Maladies neurologiques ou dégénératives;Autres affections de longue durée (dont 31 et 32);2018;770200;87100;0.113;3
Cancers;Maladies respiratoires chroniques (hors mucoviscidose);2015;205260;23200;0.113;3
Cancers;Traitements hypolipémiants (hors pathologies);2018;52190;5900;0.113;3
Insuffisance rénale chronique terminale;Autres affections de longue durée (dont 31 et 32);2019;54600;6170;0.113;3
Cancers;Maladie coronaire chronique;2015;205260;23180;0.113;3
Cancers;Traitements hypolipémiants (hors pathologies);2018;3252990;367260;0.113;1
Séjours en hospitalisation complète pour prise en charge de la Covid-19;Démences (dont maladie d'Alzheimer);2021;247100;27890;0.113;3
Maladies neurologiques ou dégénératives;Traitements anxiolytiques (hors pathologies);2020;98380;11100;0.113;3
Insuffisance rénale chronique terminale;Artériopathie oblitérante du membre inférieur;2017;3600;410;0.113;3
Cancers;Diabète;2020;733350;82700;0.113;2
Maladies psychiatriques;Diabète;2021;2769870;312300;0.113;1
Maladies cardio-neurovasculaires;Artériopathie oblitérante du membre inférieur;2015;808730;91180;0.113;2
Maladies neurologiques ou dégénératives;Maladies respiratoires chroniques (hors mucoviscidose);2017;265450;29920;0.113;3
Maladies neurologiques ou dégénératives;Maladies respiratoires chroniques (hors mucoviscidose);2016;262250;29560;0.113;3
Maladies respiratoires chroniques (hors mucoviscidose);Traitements anxiolytiques (hors pathologies);2020;3587540;404360;0.113;3
Maladies cardio-neurovasculaires;Traitements hypolipémiants (hors pathologies);2015;1569660;176890;0.113;3
Maladies inflammatoires ou rares ou VIH ou SIDA;Traitements anxiolytiques (hors pathologies);2019;301260;33950;0.113;3
Cancers;Autres cancers actifs;2018;154600;17410;0.113;3
Maladies cardio-neurovasculaires;Artériopathie oblitérante du membre inférieur;2019;102740;11570;0.113;3
Maladies cardio-neurovasculaires;Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2018;660460;74380;0.113;3
Maladies cardio-neurovasculaires;Maladie coronaire chronique;2020;47530;5350;0.113;3
Maladies psychiatriques;Diabète;2021;682180;76780;0.113;3
Maladies psychiatriques;Diabète;2020;2757430;310290;0.113;1
Maladies inflammatoires ou rares ou VIH ou SIDA;Autres affections de longue durée (dont 31 et 32);2018;119520;13450;0.113;3
Maladies cardio-neurovasculaires;Artériopathie oblitérante du membre inférieur;2019;854720;96150;0.112;2
Maladies cardio-neurovasculaires;Autres affections de longue durée (dont 31 et 32);2017;848240;95410;0.112;2
Maladies cardio-neurovasculaires;Traitements anxiolytiques (hors pathologies);2019;382180;42980;0.112;3
Maladies psychiatriques;Troubles addictifs;2020;1395040;156840;0.112;3
Maladies neurologiques ou dégénératives;Maladies respiratoires chroniques (hors mucoviscidose);2016;755400;84920;0.112;3
Cancers;Diabète;2019;731580;82180;0.112;2
Maladies psychiatriques;Troubles addictifs;2019;476800;53550;0.112;3
Insuffisance rénale chronique terminale;Autres affections de longue durée (dont 31 et 32);2015;86980;9770;0.112;1
Maladies cardio-neurovasculaires;Séquelle d'accident vasculaire cérébral;2017;191160;21470;0.112;3
Maladies psychiatriques;Diabète;2017;2512880;282100;0.112;1
Cancers;Traitements anxiolytiques (hors pathologies);2019;917090;102950;0.112;3
Maladies cardio-neurovasculaires;Traitements hypnotiques (hors pathologies);2016;828580;93010;0.112;2
Maladies cardio-neurovasculaires;Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2016;641730;72030;0.112;3
Maladies cardio-neurovasculaires;Artériopathie oblitérante du membre inférieur;2018;854060;95850;0.112;2
Maladies inflammatoires ou rares ou VIH ou SIDA;Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2021;312520;35070;0.112;3
Cancers;Troubles du rythme ou de la conduction cardiaque;2016;1625310;182390;0.112;2
Maladies cardio-neurovasculaires;Traitements hypolipémiants (hors pathologies);2015;39670;4450;0.112;3
Maladies neurologiques ou dégénératives;Maladies respiratoires chroniques (hors mucoviscidose);2015;740240;83050;0.112;3
Cancers;Traitements hypolipémiants (hors pathologies);2020;57160;6410;0.112;3
Maladies respiratoires chroniques (hors mucoviscidose);Traitements anxiolytiques (hors pathologies);2016;3605110;404340;0.112;3
Maladies cardio-neurovasculaires;Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2019;658110;73810;0.112;3
Cancers;Maladie coronaire chronique;2016;350470;39300;0.112;2
Maladies inflammatoires ou rares ou VIH ou SIDA;Autres affections de longue durée (dont 31 et 32);2017;175010;19620;0.112;2
Maladies psychiatriques;Maladies respiratoires chroniques (hors mucoviscidose);2016;458960;51430;0.112;3
Maladies cardio-neurovasculaires;Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2017;657080;73620;0.112;3
Maladies psychiatriques;Diabète;2018;2636930;295410;0.112;1
Maladies psychiatriques;Maladies respiratoires chroniques (hors mucoviscidose);2017;453090;50740;0.112;3
Maladies neurologiques ou dégénératives;Maladies respiratoires chroniques (hors mucoviscidose);2017;768900;86110;0.112;3
Maladies cardio-neurovasculaires;Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2015;624390;69900;0.112;3
Maladies psychiatriques;Maladies respiratoires chroniques (hors mucoviscidose);2018;442690;49560;0.112;3
Autres affections de longue durée (dont 31 et 32);Traitements hypolipémiants (hors pathologies);2016;1654570;185140;0.112;3
Cancers;Maladie coronaire chronique;2017;361010;40380;0.112;2
Maladies neurologiques ou dégénératives;Séquelle d'accident vasculaire cérébral;2021;355540;39750;0.112;3
Cancers;Maladie coronaire chronique;2018;371680;41530;0.112;2
Maladies psychiatriques;Troubles addictifs;2020;482160;53880;0.112;3
Maladies psychiatriques;Démences (dont maladie d'Alzheimer);2017;453090;50620;0.112;3
Cancers;Maladies respiratoires chroniques (hors mucoviscidose);2021;216400;24180;0.112;3
Maladies cardio-neurovasculaires;Traitements hypnotiques (hors pathologies);2015;624390;69740;0.112;3
Traitements psychotropes (hors pathologies);Traitements hypolipémiants (hors pathologies);2019;2936040;327870;0.112;3
Maladies du foie ou du pancréas (hors mucoviscidose);Troubles du rythme ou de la conduction cardiaque;2020;591800;66080;0.112;3
Maladies psychiatriques;Diabète;2019;2784220;310880;0.112;1
Insuffisance rénale chronique terminale;Autres affections de longue durée (dont 31 et 32);2019;98180;10960;0.112;1
Insuffisance rénale chronique terminale;Autres affections de longue durée (dont 31 et 32);2020;56130;6270;0.112;3
Cancers;Diabète;2018;719310;80300;0.112;2
Cancers;Maladie coronaire chronique;2015;339560;37890;0.112;2
Maladies neurologiques ou dégénératives;Diabète;2018;96100;10720;0.112;3
Maladies psychiatriques;Maladies respiratoires chroniques (hors mucoviscidose);2015;2350300;262130;0.112;1
Maladies inflammatoires ou rares ou VIH ou SIDA;Traitements anxiolytiques (hors pathologies);2015;838480;93510;0.112;2
Cancers;Maladie coronaire chronique;2020;376830;42020;0.112;2
Cancers;Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2020;57160;6370;0.111;3
Maladies neurologiques ou dégénératives;Diabète;2021;51850;5780;0.111;3
Maladies cardio-neurovasculaires;Autres affections de longue durée (dont 31 et 32);2018;854060;95180;0.111;2
Maladies psychiatriques;Troubles addictifs;2021;1405070;156560;0.111;3
Maladies neurologiques ou dégénératives;Traitements anxiolytiques (hors pathologies);2019;97730;10890;0.111;3
Maladies psychiatriques;Démences (dont maladie d'Alzheimer);2019;431960;48120;0.111;3
Maladies inflammatoires ou rares ou VIH ou SIDA;Autres affections de longue durée (dont 31 et 32);2015;107710;12000;0.111;3
Maladies cardio-neurovasculaires;Autres cancers actifs;2021;50250;5600;0.111;3
Cancers;Traitements hypolipémiants (hors pathologies);2021;3380330;376470;0.111;1
Maladies neurologiques ou dégénératives;Traitements anxiolytiques (hors pathologies);2021;99970;11130;0.111;3
Maladies cardio-neurovasculaires;Artériopathie oblitérante du membre inférieur;2016;1934600;215420;0.111;2
Maladies neurologiques ou dégénératives;Paraplégie;2015;103090;11480;0.111;3
Cancers;Maladie coronaire chronique;2019;377020;41970;0.111;2
Cancers;Traitements hypolipémiants (hors pathologies);2019;54880;6110;0.111;3
Maladies cardio-neurovasculaires;Maladie coronaire chronique;2021;50250;5590;0.111;3
Maladies neurologiques ou dégénératives;Maladies respiratoires chroniques (hors mucoviscidose);2019;270180;30060;0.111;3
Maladies psychiatriques;Diabète;2016;2416320;268800;0.111;1
Insuffisance rénale chronique terminale;Autres affections de longue durée (dont 31 et 32);2020;99760;11090;0.111;1
Cancers;Maladie coronaire chronique;2021;374910;41690;0.111;2
Maladies respiratoires chroniques (hors mucoviscidose);Traitements anxiolytiques (hors pathologies);2017;3608470;401160;0.111;3
Maladies psychiatriques;Maladies respiratoires chroniques (hors mucoviscidose);2019;431960;48020;0.111;3
Diabète;Traitements anxiolytiques (hors pathologies);2016;3685160;409560;0.111;3
Maladies psychiatriques;Maladies du foie ou du pancréas (hors mucoviscidose);2017;479450;53280;0.111;3
Cancers;Maladies respiratoires chroniques (hors mucoviscidose);2017;849970;94430;0.111;3
Maladies psychiatriques;Autres troubles psychiatriques;2019;1403470;155850;0.111;3
Cancers;Maladies respiratoires chroniques (hors mucoviscidose);2016;828770;92030;0.111;3
Maladies cardio-neurovasculaires;Séquelle d'accident vasculaire cérébral;2016;186850;20740;0.111;3
Maladies cardio-neurovasculaires;Artériopathie oblitérante du membre inférieur;2016;1838740;204040;0.111;3
Maladies psychiatriques;Diabète;2016;454620;50420;0.111;3
Maladies du foie ou du pancréas (hors mucoviscidose);Troubles du rythme ou de la conduction cardiaque;2021;599160;66450;0.111;3
Maladies neurologiques ou dégénératives;Paraplégie;2017;108530;12040;0.111;3
Insuffisance rénale chronique terminale;Autres affections de longue durée (dont 31 et 32);2021;56880;6310;0.111;3
Cancers;Maladies respiratoires chroniques (hors mucoviscidose);2019;917090;101700;0.111;3
Maladies neurologiques ou dégénératives;Troubles névrotiques et de l'humeur;2021;271290;30060;0.111;3
Insuffisance rénale chronique terminale;Autres affections de longue durée (dont 31 et 32);2021;100970;11190;0.111;1
Cancers;Diabète;2015;474840;52610;0.111;3
Maladies cardio-neurovasculaires;Démences (dont maladie d'Alzheimer);2021;833500;92340;0.111;2
Cancers;Traitements hypolipémiants (hors pathologies);2016;1625310;179980;0.111;2
Maladies neurologiques ou dégénératives;Maladies respiratoires chroniques (hors mucoviscidose);2018;268160;29680;0.111;3
Cancers;Diabète;2017;700230;77500;0.111;2
Cancers;Autres cancers sous surveillance;2020;57160;6330;0.111;3
Maladies du foie ou du pancréas (hors mucoviscidose);Troubles du rythme ou de la conduction cardiaque;2019;603080;66730;0.111;3
Cancers;Maladies respiratoires chroniques (hors mucoviscidose);2018;883380;97740;0.111;3
Maladies psychiatriques;Troubles addictifs;2021;488060;54000;0.111;3
Insuffisance rénale chronique terminale;Maladies respiratoires chroniques (hors mucoviscidose);2019;3490;390;0.111;3
Maladies psychiatriques;Diabète;2015;464980;51420;0.111;3
Maladies inflammatoires ou rares ou VIH ou SIDA;Autres affections de longue durée (dont 31 et 32);2018;179960;19900;0.111;2
Maladies cardio-neurovasculaires;Artériopathie oblitérante du membre inférieur;2017;1984360;219420;0.111;2
Maladies cardio-neurovasculaires;Maladie valvulaire;2016;1637520;181050;0.111;3
Maladies cardio-neurovasculaires;Artériopathie oblitérante du membre inférieur;2015;1889180;208840;0.111;2
Maladies neurologiques ou dégénératives;Paraplégie;2018;111640;12340;0.111;3
Cancers;Maladies respiratoires chroniques (hors mucoviscidose);2021;232480;25690;0.111;3
Maladies inflammatoires ou rares ou VIH ou SIDA;Autres affections de longue durée (dont 31 et 32);2019;122230;13510;0.111;3
Maladies respiratoires chroniques (hors mucoviscidose);Traitements anxiolytiques (hors pathologies);2021;3629790;400960;0.11;3
Cancers;Autres cancers actifs;2017;155780;17200;0.11;3
Maladies psychiatriques;Maladies respiratoires chroniques (hors mucoviscidose);2020;404760;44690;0.11;3
Cancers;Autres cancers actifs;2016;147360;16270;0.11;3
Maladies neurologiques ou dégénératives;Paraplégie;2016;105550;11650;0.11;3
Maladies cardio-neurovasculaires;Autres affections de longue durée (dont 31 et 32);2016;641730;70820;0.11;3
Maladies inflammatoires ou rares ou VIH ou SIDA;Autres affections de longue durée (dont 31 et 32);2016;48340;5330;0.11;3
Traitements du risque vasculaire (hors pathologies);Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2020;2990600;329880;0.11;3
Maladies inflammatoires ou rares ou VIH ou SIDA;Autres affections de longue durée (dont 31 et 32);2015;46420;5120;0.11;3
Cancers;Traitements hypnotiques (hors pathologies);2016;134860;14860;0.11;2
Maladies cardio-neurovasculaires;Artériopathie oblitérante du membre inférieur;2017;1886070;207850;0.11;3
Traitements psychotropes (hors pathologies);Autres affections de longue durée (dont 31 et 32);2020;324360;35740;0.11;3
Cancers;Troubles du rythme ou de la conduction cardiaque;2021;951760;104850;0.11;3
Traitements psychotropes (hors pathologies);Autres affections de longue durée (dont 31 et 32);2018;319820;35230;0.11;3
Maladies neurologiques ou dégénératives;Maladies respiratoires chroniques (hors mucoviscidose);2019;758940;83570;0.11;3
Maladies neurologiques ou dégénératives;Maladies respiratoires chroniques (hors mucoviscidose);2018;770200;84810;0.11;3
Traitements psychotropes (hors pathologies);Traitements hypolipémiants (hors pathologies);2021;3201260;352160;0.11;3
Autres affections de longue durée (dont 31 et 32);Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2021;1775030;195200;0.11;3
Maladies neurologiques ou dégénératives;Diabète;2017;94540;10400;0.11;3
Maladies cardio-neurovasculaires;Artériopathie oblitérante du membre inférieur;2015;1789180;196690;0.11;3
Maladies neurologiques ou dégénératives;Maladies respiratoires chroniques (hors mucoviscidose);2018;172690;18980;0.11;3
Maladies cardio-neurovasculaires;Autres affections de longue durée (dont 31 et 32);2015;624390;68610;0.11;3
Maladies inflammatoires ou rares ou VIH ou SIDA;Autres affections de longue durée (dont 31 et 32);2015;162040;17800;0.11;2
Cancers;Troubles du rythme ou de la conduction cardiaque;2019;3324170;365210;0.11;1
Cancers;Troubles du rythme ou de la conduction cardiaque;2021;3380330;371270;0.11;1
Maladies neurologiques ou dégénératives;Maladies respiratoires chroniques (hors mucoviscidose);2019;180350;19800;0.11;3
Cancers;Maladies respiratoires chroniques (hors mucoviscidose);2020;940250;103240;0.11;3
Maladies du foie ou du pancréas (hors mucoviscidose);Traitements anxiolytiques (hors pathologies);2019;603080;66190;0.11;3
Insuffisance rénale chronique terminale;Insuffisance cardiaque chronique;2017;3600;400;0.11;3
Cancers;Traitements hypolipémiants (hors pathologies);2019;3324170;364710;0.11;1
Maladies cardio-neurovasculaires;Maladie valvulaire;2017;1700860;186550;0.11;3
Traitements psychotropes (hors pathologies);Traitements hypolipémiants (hors pathologies);2020;3008770;329880;0.11;3
Maladies cardio-neurovasculaires;Artériopathie oblitérante du membre inférieur;2020;837460;91820;0.11;2
Maladies inflammatoires ou rares ou VIH ou SIDA;Autres affections de longue durée (dont 31 et 32);2020;122400;13420;0.11;3
Insuffisance rénale chronique terminale;Autres affections de longue durée (dont 31 et 32);2018;39000;4280;0.11;3
Maladies psychiatriques;Maladies respiratoires chroniques (hors mucoviscidose);2015;464980;50960;0.11;3
Cancers;Traitements hypolipémiants (hors pathologies);2018;883380;96810;0.11;3
Cancers;Maladie coronaire chronique;2015;134300;14710;0.11;3
Maladies neurologiques ou dégénératives;Traitements anxiolytiques (hors pathologies);2018;111640;12220;0.109;3
Maladies cardio-neurovasculaires;Démences (dont maladie d'Alzheimer);2020;966880;105830;0.109;2
Traitements psychotropes (hors pathologies);Traitements hypolipémiants (hors pathologies);2015;331160;36240;0.109;3
Diabète;Traitements anxiolytiques (hors pathologies);2017;3770850;412580;0.109;3
Maladies neurologiques ou dégénératives;Maladies respiratoires chroniques (hors mucoviscidose);2020;270800;29620;0.109;3
Maladies inflammatoires ou rares ou VIH ou SIDA;Autres affections de longue durée (dont 31 et 32);2016;111540;12190;0.109;3
Maladies neurologiques ou dégénératives;Maladies respiratoires chroniques (hors mucoviscidose);2017;166400;18180;0.109;3
Maladies neurologiques ou dégénératives;Diabète;2016;92700;10130;0.109;3
Cancers;Autres cancers sous surveillance;2021;58890;6430;0.109;3
Cancers;Troubles du rythme ou de la conduction cardiaque;2020;3348580;365470;0.109;1
Maladies inflammatoires ou rares ou VIH ou SIDA;Autres affections de longue durée (dont 31 et 32);2017;50560;5510;0.109;3
Insuffisance rénale chronique terminale;Traitements hypnotiques (hors pathologies);2015;3290;360;0.109;3
Cancers;Traitements hypolipémiants (hors pathologies);2018;371680;40510;0.109;2
Cancers;Troubles du rythme ou de la conduction cardiaque;2018;3252990;354460;0.109;1
Maladies inflammatoires ou rares ou VIH ou SIDA;Maladies respiratoires chroniques (hors mucoviscidose);2019;970340;105730;0.109;2
Cancers;Traitements hypolipémiants (hors pathologies);2020;3348580;364670;0.109;1
Maladies cardio-neurovasculaires;Autres affections de longue durée (dont 31 et 32);2017;657080;71540;0.109;3
Maladies du foie ou du pancréas (hors mucoviscidose);Troubles du rythme ou de la conduction cardiaque;2018;595980;64890;0.109;3
Maladies inflammatoires ou rares ou VIH ou SIDA;Maladies respiratoires chroniques (hors mucoviscidose);2017;903550;98370;0.109;2
Cancers;Maladies respiratoires chroniques (hors mucoviscidose);2015;826550;89980;0.109;3
Maladies cardio-neurovasculaires;Artériopathie oblitérante du membre inférieur;2021;833500;90710;0.109;2
Cancers;Maladie coronaire chronique;2021;871430;94810;0.109;3
Cancers;Diabète;2016;684200;74430;0.109;2
Insuffisance rénale chronique terminale;Autres affections de longue durée (dont 31 et 32);2019;40090;4360;0.109;3
Cancers;Maladie coronaire chronique;2020;861070;93630;0.109;3
Maladies inflammatoires ou rares ou VIH ou SIDA;Maladies respiratoires chroniques (hors mucoviscidose);2018;935510;101690;0.109;2
Cancers;Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2017;49070;5330;0.109;3
Maladies inflammatoires ou rares ou VIH ou SIDA;Autres affections de longue durée (dont 31 et 32);2018;52160;5670;0.109;3
Cancers;Troubles du rythme ou de la conduction cardiaque;2020;940250;102170;0.109;3
Maladies cardio-neurovasculaires;Maladie valvulaire;2015;1569660;170560;0.109;3
Insuffisance rénale chronique terminale;Autres affections de longue durée (dont 31 et 32);2020;41100;4470;0.109;3
Cancers;Maladie coronaire chronique;2019;866240;94100;0.109;3
Cancers;Maladie coronaire chronique;2018;855710;92960;0.109;3
Maladies inflammatoires ou rares ou VIH ou SIDA;Traitements hypolipémiants (hors pathologies);2015;265000;28790;0.109;3
Maladies inflammatoires ou rares ou VIH ou SIDA;Autres affections de longue durée (dont 31 et 32);2016;167850;18230;0.109;2
Maladies psychiatriques;Diabète;2015;2350300;255230;0.109;1
Cancers;Troubles du rythme ou de la conduction cardiaque;2015;1590340;172680;0.109;2
Cancers;Traitements hypolipémiants (hors pathologies);2021;951760;103340;0.109;3
Traitements psychotropes (hors pathologies);Autres affections de longue durée (dont 31 et 32);2019;315810;34290;0.109;3
Maladies neurologiques ou dégénératives;Maladies respiratoires chroniques (hors mucoviscidose);2016;157770;17120;0.109;3
Insuffisance rénale chronique terminale;Autres affections de longue durée (dont 31 et 32);2021;41030;4450;0.109;3
Traitements du risque vasculaire (hors pathologies);Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2018;3152890;342010;0.108;3
Traitements psychotropes (hors pathologies);Autres affections de longue durée (dont 31 et 32);2017;321440;34860;0.108;3
Traitements du risque vasculaire (hors pathologies);Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2017;3317910;359680;0.108;3
Maladies neurologiques ou dégénératives;Autres affections de longue durée (dont 31 et 32);2021;271290;29400;0.108;3
Maladies neurologiques ou dégénératives;Paraplégie;2019;115050;12470;0.108;3
Cancers;Troubles du rythme ou de la conduction cardiaque;2017;3155100;341940;0.108;1
Insuffisance rénale chronique terminale;Autres affections de longue durée (dont 31 et 32);2017;37620;4080;0.108;3
Cancers;Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2021;161670;17510;0.108;2
Maladies inflammatoires ou rares ou VIH ou SIDA;Maladies respiratoires chroniques (hors mucoviscidose);2016;868200;94040;0.108;2
Maladies cardio-neurovasculaires;Autres affections de longue durée (dont 31 et 32);2018;660460;71450;0.108;3
Traitements du risque vasculaire (hors pathologies);Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2016;3513590;380100;0.108;3
Cancers;Autres cancers sous surveillance;2019;54880;5940;0.108;3
Cancers;Traitements hypnotiques (hors pathologies);2015;45210;4890;0.108;3
Maladies psychiatriques;Démences (dont maladie d'Alzheimer);2016;458960;49620;0.108;3
Maladies inflammatoires ou rares ou VIH ou SIDA;Traitements anxiolytiques (hors pathologies);2016;868200;93840;0.108;2
Cancers;Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2018;52190;5640;0.108;3
Maladies neurologiques ou dégénératives;Autres affections de longue durée (dont 31 et 32);2019;758940;82000;0.108;3
Cancers;Troubles du rythme ou de la conduction cardiaque;2019;917090;99080;0.108;3
Maladies respiratoires chroniques (hors mucoviscidose);Traitements anxiolytiques (hors pathologies);2018;3624270;391500;0.108;3
Cancers;Maladie coronaire chronique;2017;833000;89960;0.108;3
Maladies cardio-neurovasculaires;Séquelle d'accident vasculaire cérébral;2015;184340;19910;0.108;3
Maladies inflammatoires ou rares ou VIH ou SIDA;Maladies respiratoires chroniques (hors mucoviscidose);2020;997320;107660;0.108;2
Maladies cardio-neurovasculaires;Artériopathie oblitérante du membre inférieur;2018;2026840;218780;0.108;2
Maladies cardio-neurovasculaires;Autres affections de longue durée (dont 31 et 32);2021;183200;19770;0.108;3
Insuffisance rénale chronique terminale;Traitements hypnotiques (hors pathologies);2017;93260;10070;0.108;1
Cancers;Maladies respiratoires chroniques (hors mucoviscidose);2021;951760;102700;0.108;3
Maladies neurologiques ou dégénératives;Traitements anxiolytiques (hors pathologies);2020;118550;12780;0.108;3
Maladies neurologiques ou dégénératives;Maladies respiratoires chroniques (hors mucoviscidose);2021;271290;29250;0.108;3
Autres affections de longue durée (dont 31 et 32);Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2015;1652010;178100;0.108;3
Hospitalisations ponctuelles (avec ou sans pathologies, traitements ou maternité);Diabète;2020;8747130;943010;0.108;3
Maladies cardio-neurovasculaires;Traitements hypolipémiants (hors pathologies);2016;1637520;176510;0.108;3
Maladies neurologiques ou dégénératives;Maladies respiratoires chroniques (hors mucoviscidose);2020;187570;20220;0.108;3
Autres affections de longue durée (dont 31 et 32);Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2016;1654570;178340;0.108;3
Maladies inflammatoires ou rares ou VIH ou SIDA;Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2020;236140;25430;0.108;3
Hospitalisations ponctuelles (avec ou sans pathologies, traitements ou maternité);Diabète;2021;9665390;1040710;0.108;3
Maladies inflammatoires ou rares ou VIH ou SIDA;Autres affections de longue durée (dont 31 et 32);2019;185240;19950;0.108;2
Maladies cardio-neurovasculaires;Insuffisance cardiaque chronique;2017;121680;13100;0.108;3
Traitements du risque vasculaire (hors pathologies);Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2019;3046350;327870;0.108;3
Traitements du risque vasculaire (hors pathologies);Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2015;3751070;403700;0.108;3
Maladies cardio-neurovasculaires;Artériopathie oblitérante du membre inférieur;2018;1926460;207320;0.108;3
Maladies neurologiques ou dégénératives;Traitements hypolipémiants (hors pathologies);2016;262250;28210;0.108;3
Maladies cardio-neurovasculaires;Démences (dont maladie d'Alzheimer);2020;47530;5110;0.108;3
Maladies inflammatoires ou rares ou VIH ou SIDA;Autres affections de longue durée (dont 31 et 32);2021;123390;13270;0.108;3
Maladies cardio-neurovasculaires;Maladie valvulaire;2018;1742420;187390;0.108;3
Cancers;Traitements hypolipémiants (hors pathologies);2019;917090;98620;0.108;3
Maladies cardio-neurovasculaires;Traitements hypnotiques (hors pathologies);2016;641730;68980;0.107;3
Cancers;Traitements hypolipémiants (hors pathologies);2015;134300;14430;0.107;3
Maladies inflammatoires ou rares ou VIH ou SIDA;Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2015;265000;28480;0.107;3
Cancers;Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2016;46620;5010;0.107;3
Maladies cardio-neurovasculaires;Insuffisance cardiaque chronique;2016;121020;13000;0.107;3
Maladies inflammatoires ou rares ou VIH ou SIDA;Maladies du foie ou du pancréas (hors mucoviscidose);2017;143560;15420;0.107;3
Maladies psychiatriques;Diabète;2015;450960;48420;0.107;3
Maladies cardio-neurovasculaires;Démences (dont maladie d'Alzheimer);2021;50250;5390;0.107;3
Cancers;Traitements hypolipémiants (hors pathologies);2015;763790;81990;0.107;3
Maladies neurologiques ou dégénératives;Diabète;2020;50310;5400;0.107;3
Cancers;Maladie coronaire chronique;2017;155780;16710;0.107;3
Maladies cardio-neurovasculaires;Insuffisance cardiaque chronique;2016;41900;4490;0.107;3
Autres affections de longue durée (dont 31 et 32);Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2020;1761940;188900;0.107;3
Cancers;Maladie coronaire chronique;2016;147360;15800;0.107;3
Maladies du foie ou du pancréas (hors mucoviscidose);Troubles du rythme ou de la conduction cardiaque;2017;586130;62830;0.107;3
Maladies inflammatoires ou rares ou VIH ou SIDA;Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2020;306660;32870;0.107;3
Maladies cardio-neurovasculaires;Autres affections de longue durée (dont 31 et 32);2019;854720;91530;0.107;2
Cancers;Maladie coronaire chronique;2016;796540;85270;0.107;3
Maladies psychiatriques;Maladies respiratoires chroniques (hors mucoviscidose);2021;390740;41820;0.107;3
Cancers;Maladie coronaire chronique;2018;154600;16550;0.107;3
Maladies neurologiques ou dégénératives;Insuffisance cardiaque chronique;2017;768900;82280;0.107;3
Maladies cardio-neurovasculaires;Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2021;1817410;194470;0.107;3
Insuffisance rénale chronique terminale;Maladies respiratoires chroniques (hors mucoviscidose);2021;3070;330;0.107;3
Maladies neurologiques ou dégénératives;Autres affections de longue durée (dont 31 et 32);2015;1565140;167430;0.107;1
Maladies psychiatriques;Diabète;2020;696180;74460;0.107;3
Maladies cardio-neurovasculaires;Démences (dont maladie d'Alzheimer);2020;846440;90530;0.107;3
Diabète;Traitements anxiolytiques (hors pathologies);2020;4036560;431590;0.107;3
